,precisions_lower,mean_precision,precisions_upper
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
11,0.999735304700181,0.9997873464158857,0.9998393881315905
12,0.9984934799715384,0.9985867956884775,0.9986801114054167
13,0.9960098269339823,0.9960932750389762,0.99617672314397
14,0.9919110838340117,0.99192678972654,0.9919424956190683
15,0.9850119651248239,0.9851743648150697,0.9853367645053155
16,0.9768898571452926,0.9769670122559162,0.9770441673665398
17,0.9667641403369616,0.9671687955526931,0.9675734507684246
18,0.9558317758183346,0.9565567525932195,0.9572817293681044
19,0.9439931663749037,0.9443499169908376,0.9447066676067715
20,0.9311487147921603,0.9316323140542048,0.9321159133162492
21,0.9175514518312877,0.9178286722012925,0.9181058925712973
22,0.9032398733768332,0.9035239034390978,0.9038079335013625
23,0.8883684705443217,0.8890257725147895,0.8896830744852574
24,0.8735150131719678,0.8740843891303607,0.8746537650887536
25,0.8592700331721533,0.8596499651543879,0.8600298971366224
26,0.8439593558525387,0.8450196747678683,0.846079993683198
27,0.8293325461265207,0.8298614119970129,0.8303902778675051
28,0.8144629511821113,0.8151255040597336,0.8157880569373559
29,0.8004393048646552,0.8005856222058063,0.8007319395469574
30,0.7856398762123269,0.7859188319479993,0.7861977876836717
31,0.7705269146011442,0.7706077720493045,0.7706886294974649
32,0.7529991273567467,0.754496455524674,0.7559937836926014
33,0.7375550588655428,0.7393876212417456,0.7412201836179484
34,0.7232462590478685,0.7251770663989836,0.7271078737500987
35,0.708934767413586,0.7102742654318541,0.7116137634501223
36,0.6950556611628846,0.6959218913519486,0.6967881215410126
37,0.6807737032090309,0.6821141739265144,0.683454644643998
38,0.6673829889752164,0.6678570485357451,0.6683311080962738
39,0.6532590272313141,0.6535971435946251,0.653935259957936
40,0.6389242065197591,0.639592961555348,0.6402617165909368
41,0.625550364337378,0.626004216487587,0.626458068637796
42,0.6108862447274044,0.6114208448694627,0.611955445011521
43,0.5963710723030913,0.5973359083403893,0.5983007443776873
44,0.5840407576925389,0.5841805456672671,0.5843203336419952
45,0.5710720976807288,0.5712933305598602,0.5715145634389917
46,0.5572711415466115,0.5581744446428549,0.5590777477390984
47,0.5445244811967469,0.5451693756172027,0.5458142700376585
48,0.5306092277550277,0.5311704052850558,0.5317315828150838
49,0.5171244553552843,0.5173853295655926,0.5176462037759009
50,0.504631723266648,0.5048311399357568,0.5050305566048656
51,0.49193979657026365,0.4921795961825539,0.4924193957948442
52,0.47887280975658775,0.47927008650278724,0.47966736324898673
53,0.46639443403607755,0.4664274238661997,0.4664604136963218
54,0.453317170470054,0.4536605807701965,0.454003991070339
55,0.44000703461406976,0.44077798953105163,0.4415489444480335
56,0.4264483543579165,0.4276926147036333,0.4289368750493501
57,0.4135052028328678,0.41437305134501096,0.4152408998571541
58,0.4003395278015306,0.40183276969355985,0.4033260115855891
59,0.38883739543414064,0.38957064192822377,0.3903038884223069
60,0.37520693340176525,0.376694780380348,0.3781826273589307
61,0.36175951489875624,0.36388486831643096,0.3660102217341057
62,0.3472003761365074,0.3502862537773506,0.35337213141819385
63,0.33319754613997987,0.3368163976653198,0.3404352491906597
64,0.32101258962627716,0.32481761983413476,0.32862265004199237
65,0.3091515483777767,0.3125061422143852,0.31586073605099374
66,0.29632235042248056,0.2997563471646395,0.30319034390679844
67,0.2848022726110352,0.28776699040174836,0.2907317081924615
68,0.27205024006517786,0.2748043013948148,0.2775583627244518
69,0.2601183143126581,0.26105428675844233,0.2619902592042266
70,0.2478250102289123,0.24825738424740407,0.24868975826589584
71,0.23479570888156714,0.23592706379143666,0.23705841870130617
72,0.2230755288527108,0.22401980776639735,0.22496408668008389
73,0.21060881768130302,0.21269263788553217,0.2147764580897613
74,0.19914346318668302,0.20115774993896895,0.2031720366912549
75,0.1875300586457638,0.1896495130507592,0.19176896745575459
76,0.17662819160008897,0.17900498642346024,0.18138178124683152
77,0.16602780828506003,0.16804614761913678,0.17006448695321352
78,0.15712865459296105,0.15732553534788346,0.15752241610280587
79,0.1463190753789405,0.1468776934704208,0.14743631156190107
80,0.13584701150033784,0.1367840219759534,0.13772103245156897
81,0.12469032893101684,0.12703047287618668,0.12937061682135653
82,0.11321960109072408,0.11660281976136078,0.11998603843199747
83,0.10279957899988246,0.10689298458144951,0.11098639016301656
84,0.09387441239886621,0.09773631754024611,0.10159822268162602
85,0.08457867237810333,0.0879668132009172,0.09135495402373107
86,0.07728205482512614,0.08002595035475715,0.08276984588438817
87,0.06640801299967969,0.07063330138681934,0.07485858977395898
88,0.05761115632366044,0.06238826366405187,0.0671653710044433
89,0.05151867806680909,0.0552863505400336,0.05905402301325811
90,0.04549080340855764,0.04867524572233913,0.05185968803612062
91,0.03964058864645591,0.04248361595612127,0.04532664326578663
92,0.0351282067386937,0.03766615920126249,0.04020411166383128
93,0.02982891710909663,0.031445367815123575,0.03306181852115052
94,0.024481174780549647,0.025021344114438744,0.02556151344832784
95,0.020561889798822598,0.020583882212329877,0.020605874625837156
96,0.013307444039375893,0.013613420105266257,0.01391939617115662
97,0.00562589671140765,0.007114026518950087,0.008602156326492524
98,0.0017218653571277956,0.001937211651509322,0.0021525579458908485
99,0.0,0.0,0.0
